# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	8307	9656	+					hisD		MAGCAS_18	1350		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	8307	9656	+	PIM95149.1			Histidinol dehydrogenase	hisD		MAGCAS_18	1350	449	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	17407	17814	+					rpsI		MAGCAS_19	408		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	17407	17814	+	PIM95150.1			30S ribosomal subunit protein S9	rpsI		MAGCAS_19	408	135	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	17822	18403	+					hisB		MAGCAS_20	582		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	17822	18403	+	PIM95151.1			Imidazoleglycerol-phosphate dehydratase	hisB		MAGCAS_20	582	193	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	18394	19050	+					hisH		MAGCAS_21	657		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	18394	19050	+	PIM95152.1			Imidazole glycerol phosphate synthase subunit HisH 1	hisH		MAGCAS_21	657	218	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	19050	19775	+					hisA		MAGCAS_22	726		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	19050	19775	+	PIM95153.1			1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	hisA		MAGCAS_22	726	241	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	19768	20556	+					hisF		MAGCAS_23	789		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	19768	20556	+	PIM95154.1			Imidazole glycerol phosphate synthase subunit HisF	hisF		MAGCAS_23	789	262	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	20646	21281	+					hisE		MAGCAS_24	636		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	20646	21281	+	PIM95155.1			Phosphoribosyl-ATP pyrophosphatase	hisE		MAGCAS_24	636	211	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	21390	22331	+					metF		MAGCAS_25	942		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	21390	22331	+	PIM95156.1			5,10-methylenetetrahydrofolate reductase	metF		MAGCAS_25	942	313	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	23183	23848	+					cycM		MAGCAS_26	666		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	23183	23848	+	PIM95157.1			Cytochrome c	cycM		MAGCAS_26	666	221	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	36597	37100	+					rpsL		MAGCAS_27	504		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	36597	37100	+	PIM95158.1			30S ribosomal protein S12	rpsL		MAGCAS_27	504	167	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	37157	38527	+					glyA		MAGCAS_28	1371		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	37157	38527	+	PIM95159.1			Serine hydroxymethyltransferase	glyA		MAGCAS_28	1371	456	
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	47951	49518	+							MAGCAS_29	1568		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	47951	49518	+				16S ribosomal RNA			MAGCAS_29	1568		
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	50013	52601	+							MAGCAS_30	2589		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant2	CM008578.1	50013	52601	+				23S ribosomal RNA			MAGCAS_30	2589		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	13426	14499	+					rpsB		MAGCAS_31	1074		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	13426	14499	+	PIM95143.1			30S ribosomal protein S2	rpsB		MAGCAS_31	1074	357	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	14522	15199	+					tsf		MAGCAS_32	678		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	14522	15199	+	PIM95144.1			elongation factor EF-Ts	tsf		MAGCAS_32	678	225	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	26009	27013	-					cysK		MAGCAS_33	1005		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	26009	27013	-	PIM95145.1			Cysteine synthase	cysK		MAGCAS_33	1005	334	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	35674	39711	-					rpoC		MAGCAS_34	4038		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	35674	39711	-	PIM95146.1			DNA-directed RNA polymerase subunit beta'	rpoC		MAGCAS_34	4038	1345	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	39717	43496	-					rpoB		MAGCAS_35	3780		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	39717	43496	-	PIM95147.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_35	3780	1259	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	43672	44097	-					rplP		MAGCAS_36	426		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant3	CM008589.1	43672	44097	-	PIM95148.1			50S ribosomal subunit protein L16	rplP		MAGCAS_36	426	141	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	3855	4382	+					rplY		MAGCAS_37	528		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	3855	4382	+	PIM95126.1			50S ribosomal protein L25	rplY		MAGCAS_37	528	175	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	10722	14744	-					rpoC		MAGCAS_38	4023		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	10722	14744	-	PIM95127.1			DNA-directed RNA polymerase subunit beta'	rpoC		MAGCAS_38	4023	1340	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	14754	18728	-					rpoB		MAGCAS_39	3975		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	14754	18728	-	PIM95128.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_39	3975	1324	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	21958	25539	-					metH		MAGCAS_40	3582		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	21958	25539	-	PIM95129.1			Methionine synthase	metH		MAGCAS_40	3582	1193	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	25608	26402	-					hisN		MAGCAS_41	795		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	25608	26402	-	PIM95130.1			Histidinol phosphatase	hisN		MAGCAS_41	795	264	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	28881	30497	-					groL		MAGCAS_42	1617		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	28881	30497	-	PIM95131.1			60 kDa chaperonin	groL		MAGCAS_42	1617	538	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	30497	30766	-					groS		MAGCAS_43	270		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	30497	30766	-	PIM95132.1			10 kDa chaperonin	groS		MAGCAS_43	270	89	
gene	tRNA	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	31574	31651	-					tRNA-Gly		MAGCAS_44	78		
tRNA		GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	31574	31651	-				tRNA-Gly	tRNA-Gly		MAGCAS_44	78		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	32985	33827	-					etfA		MAGCAS_45	843		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	32985	33827	-	PIM95133.1			Electron transfer flavoprotein large subunit	etfA		MAGCAS_45	843	280	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	34831	35337	-					cycM		MAGCAS_46	507		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	34831	35337	-	PIM95134.1			Cytochrome c	cycM		MAGCAS_46	507	168	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	36102	37043	-					metF		MAGCAS_47	942		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	36102	37043	-	PIM95135.1			5,10-methylenetetrahydrofolate reductase	metF		MAGCAS_47	942	313	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	37152	37784	-					hisI		MAGCAS_48	633		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	37152	37784	-	PIM95136.1			Phosphoribosyl-AMP cyclohydrolase	hisI		MAGCAS_48	633	210	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	37877	38665	-					hisF		MAGCAS_49	789		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	37877	38665	-	PIM95137.1			Imidazole glycerol phosphate synthase subunit HisF	hisF		MAGCAS_49	789	262	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	38658	39383	-					hisA		MAGCAS_50	726		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	38658	39383	-	PIM95138.1			1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	hisA		MAGCAS_50	726	241	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	39383	40054	-					hisH		MAGCAS_51	672		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	39383	40054	-	PIM95139.1			Imidazole glycerol phosphate synthase subunit HisH 1	hisH		MAGCAS_51	672	223	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	40030	40611	-					hisB		MAGCAS_52	582		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	40030	40611	-	PIM95140.1			Imidazoleglycerol-phosphate dehydratase	hisB		MAGCAS_52	582	193	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	40619	41026	-					rpsI		MAGCAS_53	408		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	40619	41026	-	PIM95141.1			30S ribosomal subunit protein S9	rpsI		MAGCAS_53	408	135	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	41019	41414	-					rplM		MAGCAS_54	396		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant4	CM008590.1	41019	41414	-	PIM95142.1			50S ribosomal protein L13	rplM		MAGCAS_54	396	131	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	5610	6149	-					rplE		MAGCAS_55	540		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	5610	6149	-	PIM95117.1			50S ribosomal protein L5	rplE		MAGCAS_55	540	179	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	6472	6711	-					rplN		MAGCAS_56	240		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	6472	6711	-	PIM95118.1			50S ribosomal protein L14	rplN		MAGCAS_56	240	79	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	6711	6935	-					rpsQ		MAGCAS_57	225		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	6711	6935	-	PIM95119.1			30S ribosomal protein S17	rpsQ		MAGCAS_57	225	74	
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	15842	18546	-							MAGCAS_59	2705		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	15842	18546	-				23S ribosomal RNA			MAGCAS_59	2705		
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	18886	20447	-							MAGCAS_58	1562		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	18886	20447	-				16S ribosomal RNA			MAGCAS_58	1562		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	24594	25700	-					hisC		MAGCAS_60	1107		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	24594	25700	-	PIM95120.1			Histidinol-phosphate aminotransferase	hisC		MAGCAS_60	1107	368	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	30541	30858	-					hisI		MAGCAS_61	318		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	30541	30858	-	PIM95121.1			Phosphoribosyl-AMP cyclohydrolase	hisI		MAGCAS_61	318	105	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	32751	33809	+							MAGCAS_62	1059		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	32751	33809	+	PIM95122.1			hypothetical protein			MAGCAS_62	1059	352	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	40201	43962	-					rpoB		MAGCAS_63	3762		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant5	CM008591.1	40201	43962	-	PIM95123.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_63	3762	1253	
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	998	3702	-							MAGCAS_64	2705		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	998	3702	-				23S ribosomal RNA			MAGCAS_64	2705		
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	4046	5605	-							MAGCAS_65	1560		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	4046	5605	-				16S ribosomal RNA			MAGCAS_65	1560		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	6397	7467	-					etfA		MAGCAS_66	1071		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	6397	7467	-	PIM95095.1			Electron transfer flavoprotein large subunit	etfA		MAGCAS_66	1071	356	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	7857	8597	-					etfB		MAGCAS_67	741		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	7857	8597	-	PIM95096.1			Electron transfer flavoprotein small subunit	etfB		MAGCAS_67	741	246	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	10795	11817	-					cysK		MAGCAS_68	1023		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	10795	11817	-	PIM95097.1			Cysteine synthase	cysK		MAGCAS_68	1023	340	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	12045	12851	-					fpr		MAGCAS_69	807		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	12045	12851	-	PIM95098.1			Ferredoxin--NADP reductase	fpr		MAGCAS_69	807	268	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	14687	15712	-					dnaJ		MAGCAS_70	1026		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	14687	15712	-	PIM95099.1			Chaperone protein DnaJ	dnaJ		MAGCAS_70	1026	341	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	15712	17229	-					dnaK		MAGCAS_71	1518		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	15712	17229	-	PIM95100.1			Heat shock protein 70	dnaK		MAGCAS_71	1518	505	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	22878	26639	-					rpoB		MAGCAS_72	3762		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	22878	26639	-	PIM95101.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_72	3762	1253	
gene	tRNA	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	27084	27159	+					tRNA-Met		MAGCAS_73	76		
tRNA		GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	27084	27159	+				tRNA-Met	tRNA-Met		MAGCAS_73	76		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	32900	33163	-					rplN		MAGCAS_74	264		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	32900	33163	-	PIM95102.1			50S ribosomal protein L14	rplN		MAGCAS_74	264	87	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	33179	33358	-					rpsQ		MAGCAS_75	180		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	33179	33358	-	PIM95103.1			30S ribosomal protein S17	rpsQ		MAGCAS_75	180	59	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	34761	35000	-					rpsS		MAGCAS_76	240		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	34761	35000	-	PIM95104.1			30S ribosomal protein S19	rpsS		MAGCAS_76	240	79	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	38841	40058	-					metC		MAGCAS_77	1218		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant6	CM008592.1	38841	40058	-	PIM95105.1			cystathionine beta-lyase	metC		MAGCAS_77	1218	405	
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	1523	4231	-							MAGCAS_79	2709		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	1523	4231	-				23S ribosomal RNA			MAGCAS_79	2709		
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	4565	6125	-							MAGCAS_78	1561		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	4565	6125	-				16S ribosomal RNA			MAGCAS_78	1561		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	6898	8010	-					etfA		MAGCAS_80	1113		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	6898	8010	-	PIM95089.1			Electron transfer flavoprotein large subunit	etfA		MAGCAS_80	1113	370	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	8337	9077	-					etfB		MAGCAS_81	741		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	8337	9077	-	PIM95090.1			Electron transfer flavoprotein small subunit	etfB		MAGCAS_81	741	246	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	11419	13533	-					valS		MAGCAS_82	2115		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	11419	13533	-	PIM95091.1			Valine--tRNA ligase	valS		MAGCAS_82	2115	704	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	13572	14777	-					sufS		MAGCAS_83	1206		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	13572	14777	-	PIM95092.1			Cysteine desulfurase	sufS		MAGCAS_83	1206	401	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	25550	29581	-					rpoC		MAGCAS_84	4032		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	25550	29581	-	PIM95093.1			DNA-directed RNA polymerase subunit beta'	rpoC		MAGCAS_84	4032	1343	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	29587	33366	-					rpoB		MAGCAS_85	3780		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant7	CM008593.1	29587	33366	-	PIM95094.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_85	3780	1259	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant8	CM008594.1	3503	4459	+					cobD		MAGCAS_86	957		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant8	CM008594.1	3503	4459	+	PIM95084.1			cobalamin biosynthesis protein	cobD		MAGCAS_86	957	318	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant8	CM008594.1	8977	10308	+					hisS		MAGCAS_87	1332		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant8	CM008594.1	8977	10308	+	PIM95085.1			Histidine--tRNA ligase	hisS		MAGCAS_87	1332	443	
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant8	CM008594.1	19294	20833	+							MAGCAS_88	1540		
